Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
NIDOQUEEN,90,92,87,75,85,76,POISON,GROUND,219760,201865,384,525.6901041666666
NIDORANmA,46,57,40,40,40,50,POISON,,162318,304502,296,1028.722972972973
NIDORINO,61,72,57,55,55,65,POISON,,185265,258401,326,792.6411042944785
NIDOKING,81,102,77,85,75,85,POISON,GROUND,235358,217654,366,594.6830601092896
CLEFAIRY,70,45,48,60,65,35,FAIRY,,169185,264989,344,770.3168604651163
CLEFABLE,95,70,73,95,90,60,FAIRY,,220777,213264,394,541.2791878172588
VULPIX,38,41,40,50,65,65,FIRE,,198509,282598,280,1009.2785714285715
NINETALES,73,76,75,81,100,100,FIRE,,261881,206860,350,591.0285714285715
JIGGLYPUFF,115,45,20,45,25,20,NORMAL,FAIRY,284438,381099,434,878.1082949308756
WIGGLYTUFF,140,70,45,85,50,45,NORMAL,FAIRY,366875,282955,484,584.6177685950413
ZUBAT,40,45,35,30,40,55,POISON,FLYING,172479,315312,284,1110.2535211267605
GOLBAT,75,80,70,65,75,90,POISON,FLYING,236582,225062,354,635.7683615819209
ODDISH,45,50,55,75,65,30,GRASS,POISON,242401,252541,294,858.9829931972789
GLOOM,60,65,70,85,75,40,GRASS,POISON,261774,225062,324,694.6358024691358
VILEPLUME,75,80,85,110,90,50,GRASS,POISON,313266,200638,354,566.7740112994351
PARAS,35,70,55,45,55,25,BUG,GRASS,174622,261201,274,953.2883211678832
PARASECT,60,95,80,60,80,30,BUG,GRASS,224870,211299,324,652.1574074074074
VENONAT,60,55,50,40,55,45,BUG,POISON,133975,268932,324,830.0370370370371
VENOMOTH,70,65,60,90,75,90,BUG,POISON,211887,238408,344,693.046511627907
DIGLETT,10,55,25,35,45,95,GROUND,,160320,339559,224,1515.888392857143
DUGTRIO,35,100,50,50,70,120,GROUND,,226856,258086,274,941.9197080291971
MEOWTH,40,45,35,40,40,90,NORMAL,,200514,315312,284,1110.2535211267605
PERSIAN,65,70,60,65,65,115,NORMAL,,283078,245109,334,733.8592814371258
PSYDUCK,50,52,48,65,50,55,WATER,,192022,277476,304,912.75
GOLDUCK,80,82,78,95,80,85,WATER,,242403,213239,364,585.8214285714286
MANKEY,40,80,35,35,45,70,FIGHTING,,292234,309675,284,1090.4049295774648
PRIMEAPE,65,105,60,60,70,95,FIGHTING,,348427,241434,334,722.8562874251497
GROWLITHE,55,70,45,70,50,60,FIRE,,242326,282955,314,901.1305732484077
ARCANINE,90,110,80,100,80,95,FIRE,,308567,211299,384,550.2578125
POLIWAG,40,50,40,40,40,90,WATER,,159014,304502,284,1072.1901408450703
POLIWHIRL,65,65,65,50,50,90,WATER,,180752,255455,334,764.8353293413173
POLIWRATH,90,95,95,70,90,70,WATER,FIGHTING,327274,192547,384,501.4244791666667
ABRA,25,20,15,105,55,90,PSYCHIC,,231549,379779,254,1495.1929133858268
KADABRA,40,35,30,120,70,105,PSYCHIC,,303650,310369,284,1092.8485915492959
ALAKAZAM,55,50,45,135,95,120,PSYCHIC,,330270,261343,314,832.3025477707006
MACHOP,70,80,50,35,35,35,FIGHTING,,292234,297328,344,864.3255813953489
MACHOKE,80,100,70,50,60,45,FIGHTING,,336901,238037,364,653.9478021978022
MACHAMP,90,130,80,65,85,55,FIGHTING,,403655,208161,384,542.0859375
BELLSPROUT,50,75,35,70,30,40,GRASS,POISON,245298,331223,304,1089.5493421052631
WEEPINBELL,65,90,50,85,45,55,GRASS,POISON,275261,280469,334,839.7275449101796
VICTREEBEL,80,105,65,100,70,70,GRASS,POISON,305274,234666,364,644.6868131868132
TENTACOOL,40,40,35,50,100,70,WATER,POISON,175056,289263,284,1018.5316901408451
TENTACRUEL,80,70,65,80,120,100,WATER,POISON,229397,216684,364,595.2857142857143
GEODUDE,40,80,100,30,30,20,ROCK,GROUND,322733,284612,284,1002.1549295774648
GRAVELER,55,95,115,45,45,35,ROCK,GROUND,359954,241579,314,769.359872611465
GOLEM,80,120,130,55,65,45,ROCK,GROUND,421759,202615,364,556.6346153846154
PONYTA,50,85,55,65,65,90,FIRE,,252692,252541,304,830.7269736842105
RAPIDASH,65,100,70,80,80,105,FIRE,,281729,221924,334,664.443113772455
SLOWPOKE,90,65,65,40,40,15,WATER,PSYCHIC,170659,272220,384,708.90625
SLOWBRO,95,75,110,100,80,30,WATER,PSYCHIC,269399,191582,394,486.24873096446703
MAGNEMITE,25,35,70,95,55,45,ELECTRIC,STEEL,303126,244002,254,960.6377952755905
MAGNETON,50,60,95,120,70,70,ELECTRIC,STEEL,357452,208836,304,686.9605263157895
FARFETCHD,52,90,55,58,62,60,NORMAL,FLYING,293729,254826,308,827.3571428571429
DODUO,35,85,45,35,35,75,NORMAL,FLYING,283318,304303,274,1110.594890510949
DODRIO,60,110,70,60,60,110,NORMAL,FLYING,361345,238037,324,734.6820987654321
SEEL,65,45,55,45,70,45,WATER,,159705,249256,334,746.2754491017964
DEWGONG,90,70,80,70,95,70,WATER,ICE,204506,203132,384,528.9895833333334
GRIMER,80,80,50,40,50,25,POISON,,322902,274098,364,753.0164835164835
MUK,105,105,75,65,100,50,POISON,,385071,206860,414,499.66183574879227
SHELLDER,30,65,100,45,25,40,WATER,,285916,302344,264,1145.2424242424242
CLOYSTER,50,95,180,85,45,70,WATER,ICE,361053,237702,304,781.9144736842105
GASTLY,30,35,30,100,35,80,GHOST,POISON,226480,334520,264,1267.121212121212
HAUNTER,45,50,45,115,55,95,GHOST,POISON,259824,278264,294,946.4761904761905
GENGAR,60,65,60,130,75,110,GHOST,POISON,298188,238408,324,735.8271604938271
ONIX,35,45,160,30,45,70,ROCK,GROUND,236810,238179,274,869.2664233576643
DROWZEE,60,48,45,43,90,42,PSYCHIC,,172032,262200,324,809.2592592592592
HYPNO,85,73,70,73,115,67,PSYCHIC,,224706,209593,374,560.4090909090909
KRABBY,30,105,90,25,25,50,WATER,,233033,303605,264,1150.0189393939395
KINGLER,55,130,115,50,50,75,WATER,,270899,230777,314,734.9585987261147
VOLTORB,40,30,50,55,55,100,ELECTRIC,,204545,268932,284,946.943661971831
ELECTRODE,60,50,70,80,80,150,ELECTRIC,,254988,221924,324,684.9506172839506
EXEGGCUTE,60,40,80,60,45,40,GRASS,PSYCHIC,234712,252486,324,779.2777777777778
EXEGGUTOR,95,95,85,125,75,55,GRASS,PSYCHIC,376295,210780,394,534.9746192893401
CUBONE,50,50,95,40,50,35,GROUND,,153927,236352,304,777.4736842105264
MAROWAK,60,80,110,50,80,45,GROUND,,198422,191582,324,591.3024691358024
HITMONLEE,50,120,53,35,110,87,FIGHTING,,381194,240642,304,791.5855263157895
HITMONCHAN,50,105,79,35,110,76,FIGHTING,,347962,198941,304,654.4111842105264
LICKITUNG,90,55,75,60,75,30,NORMAL,,258601,219650,384,572.0052083333334
KOFFING,40,65,95,60,45,35,POISON,,287601,246118,284,866.612676056338
WEEZING,65,90,120,85,70,60,POISON,,350111,198373,334,593.9311377245509
RHYHORN,80,85,95,30,30,25,GROUND,ROCK,203516,285372,364,783.989010989011
RHYDON,105,130,120,45,45,40,GROUND,ROCK,271132,240916,414,581.9227053140097
CHANSEY,250,5,5,35,105,50,NORMAL,,190927,444584,704,631.5113636363636
TANGELA,65,55,115,100,40,60,GRASS,,290944,253611,334,759.314371257485
KANGASKHAN,105,95,80,40,80,90,NORMAL,,326641,211299,414,510.3840579710145
HORSEA,30,40,70,70,25,60,WATER,,197683,308635,264,1169.0719696969697
SEADRA,55,65,95,95,45,85,WATER,,239147,246118,314,783.8152866242038
GOLDEEN,45,67,60,35,50,63,WATER,,164121,260712,294,886.7755102040817
SEAKING,80,92,65,65,80,68,WATER,,219261,228477,364,627.684065934066
STARYU,30,45,55,70,55,85,WATER,,197674,261201,264,989.3977272727273
STARMIE,60,75,85,100,85,115,WATER,PSYCHIC,248460,203539,324,628.2067901234568
MRMIME,40,45,65,100,120,90,PSYCHIC,FAIRY,268498,216684,284,762.9718309859155
SCYTHER,70,110,80,55,80,105,BUG,FLYING,240276,211299,344,614.2412790697674
JYNX,65,50,35,115,95,95,ICE,PSYCHIC,294939,289677,334,867.2964071856287
ELECTABUZZ,65,83,57,95,85,105,ELECTRIC,,242877,238522,334,714.1377245508982
MAGMAR,65,95,57,100,85,93,FIRE,,299915,238522,334,714.1377245508982
PINSIR,65,125,100,55,70,85,BUG,,261875,206151,334,617.2185628742515
TAUROS,75,100,95,40,70,110,NORMAL,,337409,208836,354,589.9322033898305
MAGIKARP,20,10,55,15,20,80,WATER,,108098,334630,244,1371.4344262295083
GYARADOS,95,125,79,60,100,81,WATER,FLYING,263107,202228,394,513.269035532995
LAPRAS,130,85,80,85,95,60,WATER,ICE,229747,203132,464,437.7844827586207
DITTO,48,48,48,48,48,48,NORMAL,,0,279751,300,932.5033333333333
EEVEE,55,55,50,45,65,55,NORMAL,,221351,261095,314,831.5127388535032
VAPOREON,130,65,60,110,95,65,WATER,,262929,230154,464,496.0215517241379
JOLTEON,65,65,60,110,95,130,ELECTRIC,,262929,230154,334,689.0838323353294
FLAREON,65,130,60,95,110,65,FIRE,,332509,226844,334,679.1736526946107
PORYGON,65,60,70,85,75,40,NORMAL,,306608,225062,334,673.8383233532934
OMANYTE,35,40,100,90,55,35,ROCK,WATER,250470,225957,274,824.6605839416059
OMASTAR,70,60,125,115,70,55,ROCK,WATER,295018,196979,344,572.6133720930233
KABUTO,30,80,90,55,45,55,ROCK,WATER,206044,247901,264,939.0189393939394
KABUTOPS,60,115,105,65,70,80,ROCK,WATER,253331,203819,324,629.070987654321
AERODACTYL,80,105,65,60,75,130,ROCK,FLYING,325590,231295,364,635.4258241758242
SNORLAX,160,110,65,65,110,30,NORMAL,,477952,218305,524,416.6125954198473
ARTICUNO,90,85,100,95,125,85,ICE,FLYING,289794,174014,384,453.1614583333333
ZAPDOS,90,90,85,125,90,100,ELECTRIC,FLYING,326320,200638,384,522.4947916666666
MOLTRES,90,100,90,125,85,90,FIRE,FLYING,352282,199462,384,519.4322916666666
DRATINI,41,64,45,50,50,50,DRAGON,,215217,282955,286,989.3531468531469
DRAGONAIR,61,84,65,70,70,70,DRAGON,,254051,234666,326,719.8343558282209
DRAGONITE,91,134,95,100,100,80,DRAGON,FLYING,340579,187113,386,484.74870466321244
MEWTWO,106,110,90,154,90,130,PSYCHIC,,373933,196339,416,471.96875
MEW,100,100,100,100,100,100,PSYCHIC,,375779,183369,404,453.88366336633663
CHIKORITA,45,49,65,49,65,45,GRASS,,202789,238639,294,811.6972789115646
BAYLEEF,60,62,80,63,80,60,GRASS,,230631,211299,324,652.1574074074074
MEGANIUM,80,82,100,83,100,80,GRASS,,302667,183369,364,503.760989010989
CYNDAQUIL,39,52,43,60,50,65,FIRE,,247784,286682,282,1016.6028368794326
QUILAVA,58,64,58,80,65,80,FIRE,,291383,247967,320,774.896875
TYPHLOSION,78,84,78,109,85,100,FIRE,,355476,210181,360,583.8361111111111
TOTODILE,50,65,64,44,48,43,WATER,,178157,259307,304,852.983552631579
CROCONAW,65,80,80,59,63,58,WATER,,202437,226222,334,677.311377245509
FERALIGATR,85,105,100,79,83,78,WATER,,292371,194193,374,519.2326203208556
SENTRET,35,46,34,35,45,20,NORMAL,,202437,312217,274,1139.478102189781
FURRET,85,76,64,45,55,90,NORMAL,,286537,249908,374,668.2032085561498
HOOTHOOT,60,30,30,36,56,50,NORMAL,FLYING,172711,315591,324,974.0462962962963
NOCTOWL,100,50,50,86,96,70,NORMAL,FLYING,305537,249148,404,616.7029702970297
LEDYBA,40,20,30,40,80,55,BUG,FLYING,125320,308501,284,1086.2711267605634
LEDIAN,55,35,50,85,110,85,BUG,FLYING,201000,247203,314,787.2707006369427
SPINARAK,40,60,40,40,40,30,BUG,POISON,199429,304502,284,1072.1901408450703
ARIADOS,70,90,70,60,70,40,BUG,POISON,253257,228692,344,664.8023255813954
CROBAT,85,90,80,70,80,130,POISON,FLYING,295282,211299,374,564.9705882352941
CHINCHOU,75,38,38,56,56,67,WATER,ELECTRIC,175150,292860,354,827.2881355932203
LANTURN,125,58,58,76,76,67,WATER,ELECTRIC,209489,241002,454,530.8414096916299
PICHU,20,40,15,35,35,60,ELECTRIC,,167447,389296,244,1595.4754098360656
CLEFFA,50,25,28,45,55,15,FAIRY,,137368,322830,304,1061.9407894736842
IGGLYBUFF,90,30,15,40,20,15,NORMAL,FAIRY,170336,409691,384,1066.9036458333333
TOGEPI,35,20,65,40,65,20,FAIRY,,129997,238639,274,870.9452554744526
TOGETIC,55,40,85,80,105,40,FAIRY,FLYING,194008,194023,314,617.9076433121019
NATU,40,50,45,70,45,70,PSYCHIC,FLYING,227471,288711,284,1016.5880281690141
XATU,65,75,70,95,70,95,PSYCHIC,FLYING,278121,228692,334,684.7065868263473
MAREEP,55,40,40,65,45,35,ELECTRIC,,189606,298221,314,949.7484076433121
FLAAFFY,70,55,55,80,60,45,ELECTRIC,,214980,256484,344,745.5930232558139
AMPHAROS,90,75,85,115,90,55,ELECTRIC,,295372,200638,384,522.4947916666666
BELLOSSOM,75,80,95,90,100,50,GRASS,,280027,187113,354,528.5677966101695
MARILL,70,20,50,20,50,40,WATER,FAIRY,120161,274098,344,796.796511627907
AZUMARILL,100,50,80,60,80,50,WATER,FAIRY,184509,211299,404,523.0173267326733
SUDOWOODO,70,100,115,30,65,30,ROCK,,372367,206271,344,599.625
POLITOED,90,75,75,90,100,70,WATER,,233720,206860,384,538.6979166666666
HOPPIP,35,35,40,35,55,50,GRASS,FLYING,165959,288867,274,1054.2591240875913
SKIPLOOM,55,45,50,45,65,80,GRASS,FLYING,185221,261095,314,831.5127388535032
JUMPLUFF,75,55,70,55,95,110,GRASS,FLYING,206103,215007,354,607.3644067796611
AIPOM,55,70,55,40,55,85,NORMAL,,252156,261201,314,831.8503184713376
SUNKERN,30,30,30,30,30,30,GRASS,,156118,342413,264,1297.0189393939395
SUNFLORA,75,75,55,105,85,30,GRASS,,300422,242143,354,684.0197740112994
YANMA,65,65,45,75,45,95,BUG,FLYING,171846,288711,334,864.4041916167664
WOOPER,55,45,45,25,25,15,WATER,GROUND,147648,327447,314,1042.8248407643312
QUAGSIRE,95,85,85,65,65,35,WATER,GROUND,211900,220406,394,559.4060913705583
ESPEON,65,65,60,130,95,110,PSYCHIC,,321529,230154,334,689.0838323353294
UMBREON,95,65,110,60,130,65,DARK,,180443,164996,394,418.7715736040609
MURKROW,60,85,42,85,42,91,DARK,FLYING,287595,297916,324,919.4938271604939
SLOWKING,95,75,80,100,110,30,WATER,PSYCHIC,269399,197764,394,501.93908629441626
MISDREAVUS,60,60,60,85,85,85,GHOST,,207722,233557,324,720.854938271605
UNOWN,48,72,48,72,48,48,PSYCHIC,,164786,279751,300,932.5033333333333
WOBBUFFET,190,33,58,33,58,33,PSYCHIC,,4529,253995,584,434.92294520547944
GIRAFARIG,70,80,65,90,65,85,NORMAL,PSYCHIC,325717,238639,344,693.7180232558139
PINECO,50,65,90,35,35,15,BUG,,285610,271319,304,892.4967105263158
FORRETRESS,75,90,140,60,60,40,BUG,STEEL,349372,208902,354,590.1186440677966
DUNSPARCE,100,70,70,65,65,45,NORMAL,,283078,233007,404,576.75
GLIGAR,65,75,105,35,65,85,GROUND,FLYING,189098,209765,334,628.0389221556886
STEELIX,75,85,200,55,65,30,STEEL,GROUND,336647,197065,354,556.680790960452
SNUBBULL,60,80,50,40,40,30,FAIRY,,195037,288100,324,889.1975308641976
GRANBULL,90,120,75,60,60,45,FAIRY,,254978,233573,384,608.2630208333334
QWILFISH,65,95,85,55,55,85,WATER,POISON,360077,233041,334,697.7275449101796
SCIZOR,70,130,100,55,80,65,BUG,STEEL,274025,196630,344,571.5988372093024
SHUCKLE,20,10,230,10,230,5,BUG,ROCK,111184,99366,244,407.23770491803276
HERACROSS,80,125,75,40,95,85,BUG,FIGHTING,392359,208751,364,573.4917582417582
SNEASEL,55,95,55,35,75,115,DARK,ICE,217771,246478,314,784.9617834394904
TEDDIURSA,60,80,50,50,50,40,NORMAL,,272938,274098,324,845.9814814814815
URSARING,90,130,75,75,75,55,NORMAL,,406232,219650,384,572.0052083333334
SLUGMA,40,40,40,70,40,20,FIRE,,232689,304502,284,1072.1901408450703
MAGCARGO,60,50,120,90,80,30,FIRE,ROCK,281210,187581,324,578.9537037037037
SWINUB,50,50,40,30,30,50,ICE,GROUND,155610,322143,304,1059.6809210526317
PILOSWINE,100,100,80,60,60,50,ICE,GROUND,229667,229669,404,568.4876237623762
CORSOLA,65,55,95,65,95,35,WATER,ROCK,265152,189657,334,567.8353293413173
REMORAID,35,65,35,65,35,65,WATER,,257135,322370,274,1176.5328467153286
OCTILLERY,75,105,75,105,75,45,WATER,,346609,219650,354,620.4802259887006
DELIBIRD,45,55,45,65,45,75,ICE,FLYING,226609,288711,294,982.0102040816327
MANTINE,85,40,70,80,140,70,WATER,FLYING,214035,206475,374,552.072192513369
SKARMORY,65,80,140,40,70,70,STEEL,FLYING,274683,193890,334,580.5089820359282
HOUNDOUR,45,60,30,80,50,65,DARK,FIRE,255018,319235,294,1085.8333333333333
HOUNDOOM,75,90,50,110,80,95,DARK,FIRE,314514,253541,354,716.2175141242938
KINGDRA,75,95,95,95,95,85,WATER,DRAGON,292291,189657,354,535.7542372881356
PHANPY,90,60,60,40,40,40,GROUND,,167865,276693,384,720.5546875
DONPHAN,90,120,120,60,60,50,GROUND,,256302,212219,384,552.6536458333334
PORYGON2,85,80,90,105,95,60,NORMAL,,353119,193654,374,517.7914438502673
STANTLER,73,95,62,85,65,85,NORMAL,,339046,242373,350,692.4942857142858
SMEARGLE,55,20,35,20,45,75,NORMAL,,262234,309675,314,986.2261146496816
TYROGUE,35,35,35,35,35,35,FIGHTING,,166651,322370,274,1176.5328467153286
HITMONTOP,50,95,95,35,110,70,FIGHTING,,282813,182942,304,601.7828947368421
SMOOCHUM,45,30,15,85,65,65,ICE,PSYCHIC,221810,378086,294,1286.0068027210884
ELEKID,45,63,37,65,55,95,ELECTRIC,,195450,296091,294,1007.1122448979592
MAGBY,45,75,37,70,55,83,FIRE,,245298,296091,294,1007.1122448979592
MILTANK,95,80,105,40,70,100,NORMAL,,294029,203819,394,517.3071065989848
BLISSEY,255,10,10,75,135,55,NORMAL,,279117,407419,714,570.6148459383753
RAIKOU,90,85,75,115,100,115,ELECTRIC,,295846,206860,384,538.6979166666666
ENTEI,115,115,85,90,75,100,FIRE,,327244,210780,434,485.66820276497697
SUICUNE,100,75,115,90,115,85,WATER,,233720,166925,404,413.1806930693069
LARVITAR,50,64,50,45,50,41,ROCK,GROUND,175359,274098,304,901.6381578947369
PUPITAR,70,84,70,65,70,51,ROCK,GROUND,206665,228692,344,664.8023255813954
TYRANITAR,100,134,110,95,100,61,ROCK,DARK,280192,177071,404,438.29455445544556
LUGIA,106,90,130,90,154,110,PSYCHIC,FLYING,300995,146609,416,352.4254807692308
HOOH,106,130,90,110,154,90,FIRE,FLYING,384448,178600,416,429.3269230769231
CELEBI,100,100,100,100,100,100,PSYCHIC,GRASS,306121,183369,404,453.88366336633663
TREECKO,40,45,35,65,55,70,GRASS,,223467,301346,284,1061.0774647887324
GROVYLE,50,65,45,85,65,95,GRASS,,266218,271241,304,892.2401315789474
SCEPTILE,70,85,65,105,85,120,GRASS,,347689,226029,344,657.0610465116279
TORCHIC,45,60,40,70,50,45,FIRE,,238025,293017,294,996.656462585034
COMBUSKEN,60,85,60,85,60,55,FIRE,FIGHTING,311490,249396,324,769.7407407407408
BLAZIKEN,80,120,70,110,70,80,FIRE,FIGHTING,397982,228692,364,628.2747252747253
MUDKIP,50,70,50,50,50,40,WATER,,175076,274098,304,901.6381578947369
MARSHTOMP,70,85,70,60,70,50,WATER,GROUND,209953,228692,344,664.8023255813954
SWAMPERT,100,110,90,85,90,60,WATER,GROUND,305489,196339,404,485.98762376237624
POOCHYENA,35,55,35,30,30,35,DARK,,151535,331223,274,1208.8430656934306
MIGHTYENA,70,90,70,60,60,70,DARK,,212615,238037,344,691.9680232558139
ZIGZAGOON,38,30,41,30,41,60,NORMAL,,169493,301146,280,1075.5214285714285
LINOONE,78,70,61,50,61,100,NORMAL,,275638,247120,360,686.4444444444445
WURMPLE,45,45,35,20,30,20,BUG,,87708,331223,294,1126.608843537415
SILCOON,50,35,55,25,25,15,BUG,,78898,317363,304,1043.9572368421052
BEAUTIFLY,60,70,50,100,50,65,BUG,FLYING,226236,274098,324,845.9814814814815
CASCOON,50,35,55,25,25,15,BUG,,78898,317363,304,1043.9572368421052
DUSTOX,60,50,70,50,90,65,BUG,POISON,159061,216994,324,669.7345679012345
LOTAD,40,30,30,40,50,30,WATER,GRASS,162261,319235,284,1124.0669014084508
LOMBRE,60,50,50,60,70,50,WATER,GRASS,197598,258086,324,796.5617283950618
LUDICOLO,80,70,70,90,100,70,WATER,GRASS,271740,213285,364,585.9478021978022
SEEDOT,40,40,50,30,30,30,GRASS,,225248,308413,284,1085.9612676056338
NUZLEAF,70,70,40,60,40,60,GRASS,DARK,300664,304502,344,885.1802325581396
SHIFTRY,90,100,60,90,60,80,GRASS,DARK,375996,249396,384,649.46875
TAILLOW,40,55,30,30,30,85,NORMAL,FLYING,223715,342413,284,1205.6795774647887
SWELLOW,60,85,60,75,50,125,NORMAL,FLYING,315358,260712,324,804.6666666666666
WINGULL,40,30,30,55,30,85,WATER,FLYING,182838,342413,284,1205.6795774647887
PELIPPER,60,50,100,95,70,65,WATER,FLYING,244881,206151,324,636.2685185185185
RALTS,28,25,25,45,35,40,PSYCHIC,FAIRY,170832,349351,260,1343.6576923076923
KIRLIA,38,35,35,65,55,50,PSYCHIC,FAIRY,206283,301346,280,1076.2357142857143
GARDEVOIR,68,65,65,125,115,80,PSYCHIC,FAIRY,312630,217415,340,639.4558823529412
SURSKIT,40,30,32,50,52,65,BUG,WATER,165161,311849,284,1098.0598591549297
MASQUERAIN,70,60,62,100,82,80,BUG,FLYING,246934,231752,344,673.6976744186046
SHROOMISH,60,40,60,40,60,35,GRASS,,165170,249396,324,769.7407407407408
BRELOOM,60,130,80,60,60,70,GRASS,FIGHTING,403730,229669,324,708.854938271605
SLAKOTH,60,60,60,35,35,30,NORMAL,,198699,286911,324,885.5277777777778
VIGOROTH,80,80,80,55,55,90,NORMAL,,234917,236203,364,648.9093406593406
SLAKING,150,110,80,65,65,100,NORMAL,,362128,224057,504,444.5575396825397
NINCADA,31,45,90,30,30,40,BUG,GROUND,120855,286267,266,1076.1917293233082
NINJASK,61,90,45,50,50,160,BUG,FLYING,211174,282955,326,867.9601226993865
SHEDINJA,1,90,45,30,30,40,BUG,GHOST,231618,314744,1,314744.0
WHISMUR,64,51,23,51,23,28,NORMAL,,184698,375206,332,1130.1385542168675
LOUDRED,84,71,43,71,43,48,NORMAL,,220807,294726,372,792.2741935483871
EXPLOUD,104,91,63,91,73,68,NORMAL,,336223,235225,412,570.9344660194175
MAKUHITA,72,60,30,20,30,25,FIGHTING,,247713,342413,348,983.9454022988506
HARIYAMA,144,120,60,40,60,50,FIGHTING,,381213,249396,492,506.9024390243902
AZURILL,50,20,40,20,40,20,NORMAL,FAIRY,102180,304502,304,1001.6513157894736
NOSEPASS,30,45,135,45,90,30,ROCK,,238333,173701,264,657.9583333333334
SKITTY,50,60,45,35,35,60,NORMAL,,231369,304303,304,1000.9967105263158
DELCATTY,70,85,65,55,55,90,NORMAL,,307647,248897,344,723.5377906976744
SABLEYE,50,75,75,65,65,50,DARK,GHOST,211216,228203,304,750.6677631578947
MAWILE,50,85,85,55,55,50,STEEL,FAIRY,227955,233041,304,766.5822368421053
ARON,50,70,100,40,40,30,STEEL,ROCK,271880,255931,304,841.8782894736842
LAIRON,60,90,140,50,50,40,STEEL,ROCK,316020,227783,324,703.033950617284
AGGRON,70,110,180,60,60,50,STEEL,ROCK,360430,206232,344,599.5116279069767
MEDITITE,30,40,55,40,55,60,FIGHTING,PSYCHIC,206406,261201,264,989.3977272727273
MEDICHAM,60,60,75,60,75,80,FIGHTING,PSYCHIC,251731,219650,324,677.9320987654321
ELECTRIKE,40,45,40,65,40,65,ELECTRIC,,189817,304502,284,1072.1901408450703
MANECTRIC,70,75,60,105,60,105,ELECTRIC,,255922,249396,344,724.9883720930233
PLUSLE,60,50,40,85,75,95,ELECTRIC,,222151,278559,324,859.75
MINUN,60,40,50,75,85,95,ELECTRIC,,205878,251865,324,777.3611111111111
VOLBEAT,65,73,75,47,85,85,BUG,,185594,213352,334,638.7784431137725
ILLUMISE,65,47,75,73,85,85,BUG,,170722,213352,334,638.7784431137725
ROSELIA,50,60,45,100,80,65,GRASS,POISON,291236,264737,304,870.8453947368421
GULPIN,70,43,53,43,53,40,POISON,,233388,266206,344,773.8546511627907
SWALOT,100,73,83,73,83,55,POISON,,308232,206565,404,511.2995049504951
CARVANHA,45,90,20,65,20,65,WATER,DARK,198141,391321,294,1331.0238095238096
SHARPEDO,70,120,40,95,40,95,WATER,DARK,265150,304502,344,885.1802325581396
WAILMER,130,70,35,70,35,60,WATER,,276493,322370,464,694.7629310344828
